response_id,survey_id,student_id,question_code,question_text,response_value,response_type,responded_at
RSP-000477,SRV-003,STU-00095,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T20:43:00Z
RSP-000478,SRV-003,STU-00095,PF3,Overall satisfaction with the program.,5,likert_5,2025-11-10T20:38:00Z
RSP-000479,SRV-003,STU-00127,PF1,My child looks forward to tutoring.,2,likert_5,2025-11-10T08:58:00Z
RSP-000480,SRV-003,STU-00127,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T14:18:00Z
RSP-000481,SRV-003,STU-00106,PF1,My child looks forward to tutoring.,5,likert_5,2025-11-10T11:52:00Z
RSP-000482,SRV-003,STU-00106,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T14:28:00Z
RSP-000483,SRV-003,STU-00106,PF3,Overall satisfaction with the program.,5,likert_5,2025-11-10T20:30:00Z
RSP-000484,SRV-003,STU-00135,PF1,My child looks forward to tutoring.,1,likert_5,2025-11-10T18:07:00Z
RSP-000485,SRV-003,STU-00135,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T14:56:00Z
RSP-000486,SRV-003,STU-00135,PF3,Overall satisfaction with the program.,1,likert_5,2025-11-10T08:07:00Z
RSP-000487,SRV-003,STU-00044,PF1,My child looks forward to tutoring.,2,likert_5,2025-11-10T14:23:00Z
RSP-000488,SRV-003,STU-00044,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T08:14:00Z
RSP-000489,SRV-003,STU-00044,PF3,Overall satisfaction with the program.,3,likert_5,2025-11-10T12:16:00Z
RSP-000490,SRV-003,STU-00074,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T14:30:00Z
RSP-000491,SRV-003,STU-00074,PF3,Overall satisfaction with the program.,3,likert_5,2025-11-10T14:35:00Z
RSP-000492,SRV-003,STU-00036,PF1,My child looks forward to tutoring.,4,likert_5,2025-11-10T13:10:00Z
RSP-000493,SRV-003,STU-00036,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T14:09:00Z
RSP-000494,SRV-003,STU-00036,PF3,Overall satisfaction with the program.,2,likert_5,2025-11-10T09:20:00Z
RSP-000495,SRV-003,STU-00091,PF1,My child looks forward to tutoring.,5,likert_5,2025-11-10T17:27:00Z
RSP-000496,SRV-003,STU-00091,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T13:59:00Z
RSP-000497,SRV-003,STU-00091,PF3,Overall satisfaction with the program.,2,likert_5,2025-11-10T10:54:00Z
RSP-000498,SRV-003,STU-00096,PF1,My child looks forward to tutoring.,5,likert_5,2025-11-10T08:21:00Z
RSP-000499,SRV-003,STU-00096,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T15:50:00Z
RSP-000500,SRV-003,STU-00052,PF1,My child looks forward to tutoring.,4,likert_5,2025-11-10T14:19:00Z
RSP-000501,SRV-003,STU-00052,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T13:38:00Z
RSP-000502,SRV-003,STU-00052,PF3,Overall satisfaction with the program.,4,likert_5,2025-11-10T13:10:00Z
RSP-000503,SRV-003,STU-00004,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T16:14:00Z
RSP-000504,SRV-003,STU-00004,PF3,Overall satisfaction with the program.,4,likert_5,2025-11-10T09:08:00Z
RSP-000505,SRV-003,STU-00058,PF1,My child looks forward to tutoring.,3,likert_5,2025-11-10T11:06:00Z
RSP-000506,SRV-003,STU-00058,PF3,Overall satisfaction with the program.,5,likert_5,2025-11-10T08:00:00Z
RSP-000507,SRV-003,STU-00022,PF1,My child looks forward to tutoring.,4,likert_5,2025-11-10T10:42:00Z
RSP-000508,SRV-003,STU-00022,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T09:59:00Z
RSP-000509,SRV-003,STU-00022,PF3,Overall satisfaction with the program.,4,likert_5,2025-11-10T11:59:00Z
RSP-000510,SRV-003,STU-00069,PF1,My child looks forward to tutoring.,2,likert_5,2025-11-10T18:29:00Z
RSP-000511,SRV-003,STU-00069,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T20:17:00Z
RSP-000512,SRV-003,STU-00069,PF3,Overall satisfaction with the program.,5,likert_5,2025-11-10T19:15:00Z
RSP-000513,SRV-003,STU-00063,PF1,My child looks forward to tutoring.,5,likert_5,2025-11-10T13:45:00Z
RSP-000514,SRV-003,STU-00063,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T10:11:00Z
RSP-000515,SRV-003,STU-00063,PF3,Overall satisfaction with the program.,3,likert_5,2025-11-10T10:43:00Z
RSP-000516,SRV-003,STU-00009,PF1,My child looks forward to tutoring.,2,likert_5,2025-11-10T19:54:00Z
RSP-000517,SRV-003,STU-00009,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T09:32:00Z
RSP-000518,SRV-003,STU-00009,PF3,Overall satisfaction with the program.,3,likert_5,2025-11-10T17:05:00Z
RSP-000519,SRV-003,STU-00092,PF1,My child looks forward to tutoring.,1,likert_5,2025-11-10T13:58:00Z
RSP-000520,SRV-003,STU-00092,PF3,Overall satisfaction with the program.,1,likert_5,2025-11-10T13:19:00Z
RSP-000521,SRV-003,STU-00014,PF1,My child looks forward to tutoring.,3,likert_5,2025-11-10T15:29:00Z
RSP-000522,SRV-003,STU-00014,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T11:48:00Z
RSP-000523,SRV-003,STU-00014,PF3,Overall satisfaction with the program.,2,likert_5,2025-11-10T13:49:00Z
RSP-000524,SRV-003,STU-00078,PF2,I have seen improvement in my child's skills.,no,binary,2025-11-10T09:53:00Z
RSP-000525,SRV-003,STU-00078,PF3,Overall satisfaction with the program.,4,likert_5,2025-11-10T09:22:00Z
RSP-000526,SRV-003,STU-00065,PF1,My child looks forward to tutoring.,5,likert_5,2025-11-10T15:12:00Z
RSP-000527,SRV-003,STU-00065,PF2,I have seen improvement in my child's skills.,yes,binary,2025-11-10T08:21:00Z
RSP-000528,SRV-003,STU-00065,PF3,Overall satisfaction with the program.,5,likert_5,2025-11-10T16:01:00Z
